Region,Year,Actual_Male,Actual_Female,Goal_Male,Goal_Female,Counter,Step Required Male,Step Required Female
Africa - Eastern Africa,1990,16.0360252632,14.1796394737,16.0360252632,14.1796394737,1,3.4984989474,3.5758483553
Africa - Eastern Africa,1991,24.9312221053,24.0578826316,19.5345242105,17.7554878289,2,,
Africa - Eastern Africa,1992,27.3758668421,25.1017952632,23.0330231579,21.3313361842,3,,
Africa - Eastern Africa,1993,22.4156342105,20.7178252632,26.5315221053,24.9071845395,4,,
Africa - Eastern Africa,1994,21.1979494444,19.5492761111,30.0300210526,28.4830328947,5,,
Africa - Eastern Africa,1995,13.1920961111,11.5186,33.52852,32.05888125,6,,
Africa - Eastern Africa,1996,11.8769088889,10.8703094444,37.0270189474,35.6347296053,7,,
Africa - Eastern Africa,1997,14.5560611111,14.3346961111,40.5255178947,39.2105779605,8,,
Africa - Eastern Africa,1998,19.4675457895,18.9722205263,44.0240168421,42.7864263158,9,,
Africa - Eastern Africa,1999,38.1259711111,35.211555,47.5225157895,46.3622746711,10,,
Africa - Eastern Africa,2000,32.7754641176,29.6066211765,51.0210147368,49.9381230263,11,,
Africa - Eastern Africa,2001,39.2749982353,35.7865558824,54.5195136842,53.5139713816,12,,
Africa - Eastern Africa,2002,46.6094258824,42.4106076471,58.0180126316,57.0898197368,13,,
Africa - Eastern Africa,2003,32.9660744444,30.2213905556,61.5165115789,60.6656680921,14,,
Africa - Eastern Africa,2004,46.543665,42.709675,65.0150105263,64.2415164474,15,,
Africa - Eastern Africa,2005,45.5228038889,40.6581627778,68.5135094737,67.8173648026,16,,
Africa - Eastern Africa,2006,32.514365625,29.744751875,72.0120084211,71.3932131579,17,,
Africa - Eastern Africa,2007,44.599025,41.4730192857,75.5105073684,74.9690615132,18,,
Africa - Eastern Africa,2008,45.562558,41.4214853333,79.0090063158,78.5449098684,19,,
Africa - Eastern Africa,2009,43.5684006667,42.2535766667,82.5075052632,82.1207582237,20,,
Africa - Eastern Africa,2010,40.501789375,40.98864625,86.0060042105,85.6966065789,21,,
Africa - Eastern Africa,2011,34.1573086667,32.2323233333,89.5045031579,89.2724549342,22,,
Africa - Eastern Africa,2012,44.7548853333,45.819044,93.0030021053,92.8483032895,23,,
Africa - Eastern Africa,2013,47.6921766667,48.1689672222,96.5015010526,96.4241516447,24,,
Africa - Eastern Africa,2014,47.6921766667,48.1689672222,100,100,25,,
Africa - Middle Africa,1990,20.7878566667,15.4156144444,20.7878566667,15.4156144444,1,3.3005059722,3.5243493981
Africa - Middle Africa,1991,27.8350455556,18.54826,24.0883626389,18.9399638426,2,,
Africa - Middle Africa,1992,23.4144355556,19.8322344444,27.3888686111,22.4643132407,3,,
Africa - Middle Africa,1993,14.6740055556,12.0594055556,30.6893745833,25.9886626389,4,,
Africa - Middle Africa,1994,21.9120055556,16.5150777778,33.9898805556,29.513012037,5,,
Africa - Middle Africa,1995,9.8785688889,8.16383,37.2903865278,33.0373614352,6,,
Africa - Middle Africa,1996,15.37769,14.0570044444,40.5908925,36.5617108333,7,,
Africa - Middle Africa,1997,10.3193866667,8.6547844444,43.8913984722,40.0860602315,8,,
Africa - Middle Africa,1998,10.3193866667,8.6547844444,47.1919044444,43.6104096296,9,,
Africa - Middle Africa,1999,21.03614,18.2968333333,50.4924104167,47.1347590278,10,,
Africa - Middle Africa,2000,17.194475,12.4509225,53.7929163889,50.6591084259,11,,
Africa - Middle Africa,2001,18.362362,14.380328,57.0934223611,54.1834578241,12,,
Africa - Middle Africa,2002,34.2496175,30.86306,60.3939283333,57.7078072222,13,,
Africa - Middle Africa,2003,36.8862433333,32.2305988889,63.6944343056,61.2321566204,14,,
Africa - Middle Africa,2004,41.7195985714,34.7629785714,66.9949402778,64.7565060185,15,,
Africa - Middle Africa,2005,29.7431111111,25.6392777778,70.29544625,68.2808554167,16,,
Africa - Middle Africa,2006,23.0431433333,17.87422,73.5959522222,71.8052048148,17,,
Africa - Middle Africa,2007,30.3049888889,26.7034933333,76.8964581944,75.329554213,18,,
Africa - Middle Africa,2008,48.5960422222,41.2610611111,80.1969641667,78.8539036111,19,,
Africa - Middle Africa,2009,54.8569744444,45.7280822222,83.4974701389,82.3782530093,20,,
Africa - Middle Africa,2010,55.7219555556,47.2603688889,86.7979761111,85.9026024074,21,,
Africa - Middle Africa,2011,62.2021033333,51.7669055556,90.0984820833,89.4269518056,22,,
Africa - Middle Africa,2012,47.928895,40.57766,93.3989880556,92.9513012037,23,,
Africa - Middle Africa,2013,25.4078911111,22.4116222222,96.6994940278,96.4756506019,24,,
Africa - Middle Africa,2014,18.5340911111,18.3939244444,100,100,25,,
Africa - Northern Africa,1990,38.11079,30.5935033333,38.11079,30.5935033333,1,2.5787170833,2.8919373611
Africa - Northern Africa,1991,35.7455616667,29.2678383333,40.6895070833,33.4854406944,2,,
Africa - Northern Africa,1992,22.74882,18.1570616667,43.2682241667,36.3773780556,3,,
Africa - Northern Africa,1993,35.2521366667,29.6684483333,45.84694125,39.2693154167,4,,
Africa - Northern Africa,1994,35.8909483333,30.8103283333,48.4256583333,42.1612527778,5,,
Africa - Northern Africa,1995,37.8531033333,33.05792,51.0043754167,45.0531901389,6,,
Africa - Northern Africa,1996,37.7795666667,33.7255916667,53.5830925,47.9451275,7,,
Africa - Northern Africa,1997,54.96286,49.4562783333,56.1618095833,50.8370648611,8,,
Africa - Northern Africa,1998,9.9782,7.6296633333,58.7405266667,53.7290022222,9,,
Africa - Northern Africa,1999,55.923485,51.859935,61.31924375,56.6209395833,10,,
Africa - Northern Africa,2000,55.55601,51.8933616667,63.8979608333,59.5128769444,11,,
Africa - Northern Africa,2001,56.4453883333,53.4212983333,66.4766779167,62.4048143056,12,,
Africa - Northern Africa,2002,57.332785,55.1338716667,69.055395,65.2967516667,13,,
Africa - Northern Africa,2003,58.9787133333,56.815175,71.6341120833,68.1886890278,14,,
Africa - Northern Africa,2004,60.9715233333,59.449445,74.2128291667,71.0806263889,15,,
Africa - Northern Africa,2005,63.1480533333,60.7065133333,76.79154625,73.97256375,16,,
Africa - Northern Africa,2006,53.456934,50.980136,79.3702633333,76.8645011111,17,,
Africa - Northern Africa,2007,63.7732733333,61.7421116667,81.9489804167,79.7564384722,18,,
Africa - Northern Africa,2008,43.992435,42.27835,84.5276975,82.6483758333,19,,
Africa - Northern Africa,2009,60.7269866667,59.9572216667,87.1064145833,85.5403131944,20,,
Africa - Northern Africa,2010,75.8130816667,72.3529383333,89.6851316667,88.4322505556,21,,
Africa - Northern Africa,2011,37.36871,36.363466,92.26384875,91.3241879167,22,,
Africa - Northern Africa,2012,61.7601516667,59.3674016667,94.8425658333,94.2161252778,23,,
Africa - Northern Africa,2013,68.8577683333,68.7223416667,97.4212829167,97.1080626389,24,,
Africa - Northern Africa,2014,16.9270933333,16.6202266667,100,100,25,,
Africa - Southern Africa,1990,36.24808,48.28495,36.24808,48.28495,1,2.65633,2.15479375
Africa - Southern Africa,1991,50.514488,64.11411,38.90441,50.43974375,2,,
Africa - Southern Africa,1992,50.228604,64.920682,41.56074,52.5945375,3,,
Africa - Southern Africa,1993,37.358436,47.928084,44.21707,54.74933125,4,,
Africa - Southern Africa,1994,52.37135,64.840372,46.8734,56.904125,5,,
Africa - Southern Africa,1995,39.724272,49.411822,49.52973,59.05891875,6,,
Africa - Southern Africa,1996,39.61702,48.192566,52.18606,61.2137125,7,,
Africa - Southern Africa,1997,22.275896,29.024958,54.84239,63.36850625,8,,
Africa - Southern Africa,1998,76.137272,86.573394,57.49872,65.5233,9,,
Africa - Southern Africa,1999,74.087102,83.451472,60.15505,67.67809375,10,,
Africa - Southern Africa,2000,74.010892,82.65268,62.81138,69.8328875,11,,
Africa - Southern Africa,2001,72.9325075,81.789285,65.46771,71.98768125,12,,
Africa - Southern Africa,2002,76.41843,85.445528,68.12404,74.142475,13,,
Africa - Southern Africa,2003,77.271366,85.93636,70.78037,76.29726875,14,,
Africa - Southern Africa,2004,77.822272,85.830974,73.4367,78.4520625,15,,
Africa - Southern Africa,2005,57.278396,66.111678,76.09303,80.60685625,16,,
Africa - Southern Africa,2006,60.437894,69.863654,78.74936,82.76165,17,,
Africa - Southern Africa,2007,45.995604,50.458508,81.40569,84.91644375,18,,
Africa - Southern Africa,2008,45.562538,52.200086,84.06202,87.0712375,19,,
Africa - Southern Africa,2009,61.442254,67.595202,86.71835,89.22603125,20,,
Africa - Southern Africa,2010,43.305636,49.147938,89.37468,91.380825,21,,
Africa - Southern Africa,2011,28.016314,31.798514,92.03101,93.53561875,22,,
Africa - Southern Africa,2012,63.695718,69.578112,94.68734,95.6904125,23,,
Africa - Southern Africa,2013,12.886148,16.784768,97.34367,97.84520625,24,,
Africa - Southern Africa,2014,12.886148,16.784768,100,100,25,,
Africa - Western Africa,1990,19.92405,11.878192,19.92405,11.878192,1,3.3364979167,3.671742
Africa - Western Africa,1991,17.634808,10.4968473333,23.2605479167,15.549934,2,,
Africa - Western Africa,1992,24.8823066667,15.264028,26.5970458333,19.221676,3,,
Africa - Western Africa,1993,13.336422,7.7433786667,29.93354375,22.893418,4,,
Africa - Western Africa,1994,22.8447366667,14.8822753333,33.2700416667,26.56516,5,,
Africa - Western Africa,1995,16.7779473333,9.43461,36.6065395833,30.236902,6,,
Africa - Western Africa,1996,19.4631653333,12.38865,39.9430375,33.908644,7,,
Africa - Western Africa,1997,14.5092906667,9.3437866667,43.2795354167,37.580386,8,,
Africa - Western Africa,1998,20.4372093333,15.2595946667,46.6160333333,41.252128,9,,
Africa - Western Africa,1999,26.2788014286,18.4766035714,49.95253125,44.92387,10,,
Africa - Western Africa,2000,40.610278,29.7424873333,53.2890291667,48.595612,11,,
Africa - Western Africa,2001,42.4951273333,32.0924706667,56.6255270833,52.267354,12,,
Africa - Western Africa,2002,39.8308185714,31.4491757143,59.962025,55.939096,13,,
Africa - Western Africa,2003,42.9876328571,34.6443635714,63.2985229167,59.610838,14,,
Africa - Western Africa,2004,51.3215271429,40.9010764286,66.6350208333,63.28258,15,,
Africa - Western Africa,2005,49.9846757143,42.1290007143,69.97151875,66.954322,16,,
Africa - Western Africa,2006,56.7968957143,48.44363,73.3080166667,70.626064,17,,
Africa - Western Africa,2007,50.8625261538,44.74676,76.6445145833,74.297806,18,,
Africa - Western Africa,2008,58.8026092857,50.933775,79.9810125,77.969548,19,,
