Region,Country,Earliest Year,Latest Year,Change (#),Change (%),,Upload
ASIA (EX. NEAR EAST),Bangladesh,0.2,0.72,0.52,260%,,"['Bangladesh',260],"
ASIA (EX. NEAR EAST),Brunei Darussalam,1.36,1.82,0.46,34%,,"['Brunei Darussalam',34],"
ASIA (EX. NEAR EAST),Cambodia,0.18,0.61,0.43,239%,,"['Cambodia',239],"
ASIA (EX. NEAR EAST),China,0.53,1.15,0.62,117%,,"['China',117],"
ASIA (EX. NEAR EAST),Hong Kong,0.07,1.38,1.31,1871%,,"['Hong Kong',1871],"
ASIA (EX. NEAR EAST),India,0.52,0.92,0.4,77%,,"['India',77],"
ASIA (EX. NEAR EAST),Indonesia,0.55,1.03,0.48,87%,,"['Indonesia',87],"
ASIA (EX. NEAR EAST),Japan,0.65,0.9,0.25,38%,,"['Japan',38],"
ASIA (EX. NEAR EAST),Malaysia,1.02,1.21,0.19,19%,,"['Malaysia',19],"
ASIA (EX. NEAR EAST),Maldives,1.13,1.13,0,0%,,"['Maldives',0],"
ASIA (EX. NEAR EAST),Mongolia,1.42,1.42,0,0%,,"['Mongolia',0],"
ASIA (EX. NEAR EAST),Montenegro,1.27,1.27,0,0%,,"['Montenegro',0],"
ASIA (EX. NEAR EAST),Nepal,0.23,0.81,0.58,252%,,"['Nepal',252],"
ASIA (EX. NEAR EAST),Pakistan,0.27,0.98,0.71,263%,,"['Pakistan',263],"
ASIA (EX. NEAR EAST),Philippines,1.1,1.26,0.16,15%,,"['Philippines',15],"
ASIA (EX. NEAR EAST),Sri Lanka,0.5,1.6,1.1,220%,,"['Sri Lanka',220],"
ASIA (EX. NEAR EAST),State of Palestine,0.8,1.5,0.7,88%,,"['State of Palestine',88],"
ASIA (EX. NEAR EAST),Thailand,1.07,1.34,0.27,25%,,"['Thailand',25],"
ASIA (EX. NEAR EAST),The former Yugoslav Republic of Macedonia,1,1.2,0.2,20%,,"['The former Yugoslav Republic of Macedonia',20],"
ASIA (EX. NEAR EAST),Timor-Leste,0.69,0.73,0.04,6%,,"['Timor-Leste',6],"
BALTICS,Estonia,1.04,1.48,0.44,42%,,"['Estonia',42],"
BALTICS,Latvia,1.19,1.49,0.3,25%,,"['Latvia',25],"
BALTICS,Lithuania,0.71,1.45,0.74,104%,,"['Lithuania',104],"
BALTICS,Luembourg,0.96,1.13,0.17,18%,,"['Luembourg',18],"
C.W. OF IND. STATES,Armenia,1.26,1.51,0.25,20%,,"['Armenia',20],"
C.W. OF IND. STATES,Azerbaijan,0.65,1.05,0.4,62%,,"['Azerbaijan',62],"
C.W. OF IND. STATES,Belarus,1.19,1.35,0.16,13%,,"['Belarus',13],"
C.W. OF IND. STATES,Georgia,0.91,1.26,0.35,38%,,"['Georgia',38],"
C.W. OF IND. STATES,Kazakhstan,1.14,1.3,0.16,14%,,"['Kazakhstan',14],"
C.W. OF IND. STATES,Kyrgyzstan,1.01,0.7,-0.31,-31%,,"['Kyrgyzstan',-31],"
C.W. OF IND. STATES,Lao People's Democratic Republic,0.38,0.7,0.32,84%,,"['Lao People's Democratic Republic',84],"
C.W. OF IND. STATES,Russian Federation,1.23,1.26,0.03,2%,,"['Russian Federation',2],"
C.W. OF IND. STATES,Tajikistan,0.41,0.61,0.2,49%,,"['Tajikistan',49],"
C.W. OF IND. STATES,Turkmenistan,0.64,0.64,0,0%,,"['Turkmenistan',0],"
C.W. OF IND. STATES,Ukraine,1.12,1.19,0.07,6%,,"['Ukraine',6],"
C.W. OF IND. STATES,Uzbekistan,0.65,0.65,0,0%,,"['Uzbekistan',0],"
EASTERN EUROPE,Bulgaria,1.1,1.27,0.17,15%,,"['Bulgaria',15],"
EASTERN EUROPE,Croatia,0.14,1.15,1.01,721%,,"['Croatia',721],"
EASTERN EUROPE,Czech Republic,0.14,1.15,1.01,721%,,"['Czech Republic',721],"
EASTERN EUROPE,Democratic Republic of the Congo,0.14,1.15,1.01,721%,,"['Democratic Republic of the Congo',721],"
EASTERN EUROPE,Hungary,1.06,1.28,0.22,21%,,"['Hungary',21],"
EASTERN EUROPE,Poland,1.31,1.55,0.24,18%,,"['Poland',18],"
EASTERN EUROPE,Romania,0.87,1.33,0.46,53%,,"['Romania',53],"
EASTERN EUROPE,Serbia,1.21,1.33,0.12,10%,,"['Serbia',10],"
EASTERN EUROPE,Slovakia,0.96,1.54,0.58,60%,,"['Slovakia',60],"
EASTERN EUROPE,Slovenia,1.13,1.46,0.33,29%,,"['Slovenia',29],"
LATIN AMER. & CARIB,Antigua and Barbuda,1.92,2.07,0.15,8%,,"['Antigua and Barbuda',8],"
LATIN AMER. & CARIB,Argentina,1.42,1.57,0.15,11%,,"['Argentina',11],"
LATIN AMER. & CARIB,Aruba,1.16,1.5,0.34,29%,,"['Aruba',29],"
LATIN AMER. & CARIB,Belize,1.51,1.68,0.17,11%,,"['Belize',11],"
LATIN AMER. & CARIB,Chile,0.85,1.11,0.26,31%,,"['Chile',31],"
LATIN AMER. & CARIB,Colombia,0.38,1.14,0.76,200%,,"['Colombia',200],"
LATIN AMER. & CARIB,Costa Rica,0.14,1.24,1.1,786%,,"['Costa Rica',786],"
LATIN AMER. & CARIB,Cuba,0.14,1.15,1.01,721%,,"['Cuba',721],"
LATIN AMER. & CARIB,Dominica,0.14,1,0.86,614%,,"['Dominica',614],"
LATIN AMER. & CARIB,Dominican Republic,0.14,1.6,1.46,1043%,,"['Dominican Republic',1043],"
LATIN AMER. & CARIB,Ecuador,0.14,1.31,1.17,836%,,"['Ecuador',836],"
LATIN AMER. & CARIB,El Salvador,0.14,1.13,0.99,707%,,"['El Salvador',707],"
LATIN AMER. & CARIB,Grenada,1.36,1.36,0,0%,,"['Grenada',0],"
LATIN AMER. & CARIB,Guatemala,0.72,1.04,0.32,44%,,"['Guatemala',44],"
LATIN AMER. & CARIB,Guyana,0.72,2.14,1.42,197%,,"['Guyana',197],"
LATIN AMER. & CARIB,Jamaica,1.82,2.29,0.47,26%,,"['Jamaica',26],"
LATIN AMER. & CARIB,Nicaragua,0.96,1.1,0.14,15%,,"['Nicaragua',15],"
LATIN AMER. & CARIB,Paraguay,0.85,1.4,0.55,65%,,"['Paraguay',65],"
LATIN AMER. & CARIB,Peru,0.98,1.09,0.11,11%,,"['Peru',11],"
LATIN AMER. & CARIB,Puerto Rico,1.43,1.43,0,0%,,"['Puerto Rico',0],"
LATIN AMER. & CARIB,Saint Kitts and Nevis,1.18,2.09,0.91,77%,,"['Saint Kitts and Nevis',77],"
LATIN AMER. & CARIB,Saint Lucia,1.49,2,0.51,34%,,"['Saint Lucia',34],"
LATIN AMER. & CARIB,Saint Vincent and the Grenadines,2.17,2.17,0,0%,,"['Saint Vincent and the Grenadines',0],"
LATIN AMER. & CARIB,Suriname,1.22,1.72,0.5,41%,,"['Suriname',41],"
LATIN AMER. & CARIB,Trinidad and Tobago,0.69,1.26,0.57,83%,,"['Trinidad and Tobago',83],"
LATIN AMER. & CARIB,Turks and Caicos Islands,0.9,0.9,0,0%,,"['Turks and Caicos Islands',0],"
LATIN AMER. & CARIB,Uruguay,1.68,1.73,0.05,3%,,"['Uruguay',3],"
LATIN AMER. & CARIB,Venezuela,1.07,1.69,0.62,58%,,"['Venezuela',58],"
