name	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015
Afghanistan, Eastern Mediterranean	18.1	17.4	16.8	16.2	15.7	15.2	14.9	14.6	14.3	14	13.7	13.4	13	12.7	12.3	12	11.6	11.3	11	10.8	10.5	10.2	10	9.7	9.4	9.1
Albania, Europe	4.1	3.9	3.7	3.6	3.5	3.3	3.2	3	2.9	2.8	2.6	2.5	2.4	2.3	2.2	2.1	2	1.9	1.8	1.7	1.7	1.6	1.6	1.5	1.4	1.4
Algeria, Africa	4.7	4.6	4.5	4.4	4.3	4.3	4.2	4.1	4.1	4	4	3.9	3.8	3.7	3.5	3.4	3.2	3.1	2.9	2.8	2.7	2.7	2.6	2.6	2.6	2.6
Andorra, Europe	0.9	0.8	0.7	0.7	0.6	0.6	0.6	0.5	0.5	0.5	0.5	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.4	0.3	0.3	0.3	0.3	0.3	0.3	0.3
Angola, Africa	22.6	22.6	22.6	22.6	22.6	22.5	22.4	22.3	22.1	21.9	21.7	21.4	21.2	20.9	20.7	20.4	20.1	19.6	19.2	18.7	18.3	17.7	17.2	16.7	16.2	15.7
Antigua and Barbuda, Americas	2.6	2.4	2.3	2.2	2.1	2	1.9	1.8	1.7	1.6	1.6	1.5	1.4	1.4	1.3	1.2	1.2	1.1	1.1	1	1	1	0.9	0.9	0.8	0.8
Argentina, Americas	2.8	2.7	2.6	2.5	2.4	2.3	2.3	2.2	2.1	2.1	2	2	1.9	1.9	1.8	1.7	1.6	1.6	1.5	1.5	1.5	1.4	1.4	1.3	1.3	1.3
Armenia, Europe	5	4.8	4.5	4.3	4.1	3.9	3.7	3.5	3.3	3.2	3	2.9	2.7	2.6	2.5	2.3	2.2	2.1	2	1.9	1.8	1.7	1.6	1.6	1.5	1.4
Australia, Western Pacific	0.9	0.9	0.8	0.8	0.7	0.7	0.7	0.7	0.7	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.6	0.5	0.5	0.5	0.5	0.5	0.4	0.4	0.4	0.4
Austria, Europe	1	0.9	0.9	0.8	0.7	0.7	0.6	0.6	0.6	0.6	0.6	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.5	0.4	0.4	0.4	0.4	0.4	0.4
Azerbaijan, Europe	9.5	9.5	9.5	9.6	9.6	9.4	9.2	8.9	8.4	7.9	7.4	6.9	6.4	5.9	5.5	5.2	4.9	4.6	4.3	4.1	3.9	3.7	3.6	3.4	3.3	3.2
Bahamas, Americas	2.4	2.3	2.2	2.1	2	1.9	1.8	1.7	1.6	1.6	1.6	1.6	1.6	1.5	1.5	1.5	1.5	1.5	1.5	1.4	1.4	1.4	1.3	1.3	1.2	1.2
Bahrain, Eastern Mediterranean	2.3	2.3	2.2	2.1	2	1.8	1.7	1.5	1.4	1.3	1.3	1.2	1.2	1.2	1.1	1.1	1.1	1	0.9	0.9	0.8	0.8	0.7	0.7	0.7	0.6
Bangladesh, South-East Asia	14.4	13.8	13.2	12.6	12	11.4	10.9	10.3	9.8	9.3	8.8	8.4	7.9	7.5	7.1	6.7	6.3	5.9	5.6	5.3	5	4.7	4.4	4.2	4	3.8
Barbados, Americas	1.8	1.7	1.7	1.6	1.6	1.6	1.5	1.6	1.6	1.6	1.6	1.7	1.7	1.7	1.7	1.7	1.6	1.6	1.5	1.5	1.5	1.4	1.4	1.4	1.3	1.3
